path,label
pokemoncards/pokemon_card_images\base1-37_Nidorino.jpg,Nidorino
pokemoncards/pokemon_card_images\base1-38_Poliwhirl.jpg,Poliwhirl
pokemoncards/pokemon_card_images\base1-39_Porygon.jpg,Porygon
pokemoncards/pokemon_card_images\base1-3_Chansey.jpg,Chansey
pokemoncards/pokemon_card_images\base1-40_Raticate.jpg,Raticate
pokemoncards/pokemon_card_images\base1-41_Seel.jpg,Seel
pokemoncards/pokemon_card_images\base1-42_Wartortle.jpg,Wartortle
pokemoncards/pokemon_card_images\base1-43_Abra.jpg,Abra
pokemoncards/pokemon_card_images\base1-44_Bulbasaur.jpg,Bulbasaur
pokemoncards/pokemon_card_images\base1-45_Caterpie.jpg,Caterpie
pokemoncards/pokemon_card_images\base1-46_Charmander.jpg,Charmander
pokemoncards/pokemon_card_images\base1-47_Diglett.jpg,Diglett
pokemoncards/pokemon_card_images\base1-48_Doduo.jpg,Doduo
pokemoncards/pokemon_card_images\base1-49_Drowzee.jpg,Drowzee
pokemoncards/pokemon_card_images\base1-4_Charizard.jpg,Charizard
pokemoncards/pokemon_card_images\base1-50_Gastly.jpg,Gastly
pokemoncards/pokemon_card_images\base1-51_Koffing.jpg,Koffing
pokemoncards/pokemon_card_images\base1-52_Machop.jpg,Machop
pokemoncards/pokemon_card_images\base1-53_Magnemite.jpg,Magnemite
pokemoncards/pokemon_card_images\base1-54_Metapod.jpg,Metapod
pokemoncards/pokemon_card_images\base1-55_Nidoran ♂.jpg,Nidoran ♂
pokemoncards/pokemon_card_images\base1-56_Onix.jpg,Onix
pokemoncards/pokemon_card_images\base1-57_Pidgey.jpg,Pidgey
pokemoncards/pokemon_card_images\base1-58_Pikachu.jpg,Pikachu
pokemoncards/pokemon_card_images\base1-59_Poliwag.jpg,Poliwag
pokemoncards/pokemon_card_images\base1-5_Clefairy.jpg,Clefairy
pokemoncards/pokemon_card_images\base1-60_Ponyta.jpg,Ponyta
pokemoncards/pokemon_card_images\base1-61_Rattata.jpg,Rattata
pokemoncards/pokemon_card_images\base1-62_Sandshrew.jpg,Sandshrew
pokemoncards/pokemon_card_images\base1-63_Squirtle.jpg,Squirtle
pokemoncards/pokemon_card_images\base1-64_Starmie.jpg,Starmie
pokemoncards/pokemon_card_images\base1-65_Staryu.jpg,Staryu
pokemoncards/pokemon_card_images\base1-66_Tangela.jpg,Tangela
pokemoncards/pokemon_card_images\base1-67_Voltorb.jpg,Voltorb
pokemoncards/pokemon_card_images\base1-68_Vulpix.jpg,Vulpix
pokemoncards/pokemon_card_images\base1-69_Weedle.jpg,Weedle
pokemoncards/pokemon_card_images\base1-6_Gyarados.jpg,Gyarados
pokemoncards/pokemon_card_images\base1-7_Hitmonchan.jpg,Hitmonchan
pokemoncards/pokemon_card_images\base1-8_Machamp.jpg,Machamp
pokemoncards/pokemon_card_images\base1-9_Magneton.jpg,Magneton
pokemoncards/pokemon_card_images\base2-10_Scyther.jpg,Scyther
pokemoncards/pokemon_card_images\base2-11_Snorlax.jpg,Snorlax
pokemoncards/pokemon_card_images\base2-12_Vaporeon.jpg,Vaporeon
pokemoncards/pokemon_card_images\base2-13_Venomoth.jpg,Venomoth
pokemoncards/pokemon_card_images\base2-14_Victreebel.jpg,Victreebel
pokemoncards/pokemon_card_images\base2-15_Vileplume.jpg,Vileplume
pokemoncards/pokemon_card_images\base2-16_Wigglytuff.jpg,Wigglytuff
pokemoncards/pokemon_card_images\base2-17_Clefable.jpg,Clefable
pokemoncards/pokemon_card_images\base2-18_Electrode.jpg,Electrode
pokemoncards/pokemon_card_images\base2-19_Flareon.jpg,Flareon
pokemoncards/pokemon_card_images\base2-1_Clefable.jpg,Clefable
pokemoncards/pokemon_card_images\base2-20_Jolteon.jpg,Jolteon
pokemoncards/pokemon_card_images\base2-21_Kangaskhan.jpg,Kangaskhan
pokemoncards/pokemon_card_images\base2-22_Mr. Mime.jpg,Mr. Mime
pokemoncards/pokemon_card_images\base2-23_Nidoqueen.jpg,Nidoqueen
pokemoncards/pokemon_card_images\base2-24_Pidgeot.jpg,Pidgeot
pokemoncards/pokemon_card_images\base2-25_Pinsir.jpg,Pinsir
pokemoncards/pokemon_card_images\base2-26_Scyther.jpg,Scyther
pokemoncards/pokemon_card_images\base2-27_Snorlax.jpg,Snorlax
pokemoncards/pokemon_card_images\base2-28_Vaporeon.jpg,Vaporeon
pokemoncards/pokemon_card_images\base2-29_Venomoth.jpg,Venomoth
pokemoncards/pokemon_card_images\base2-2_Electrode.jpg,Electrode
pokemoncards/pokemon_card_images\base2-30_Victreebel.jpg,Victreebel
pokemoncards/pokemon_card_images\base2-31_Vileplume.jpg,Vileplume
pokemoncards/pokemon_card_images\base2-32_Wigglytuff.jpg,Wigglytuff
pokemoncards/pokemon_card_images\base2-33_Butterfree.jpg,Butterfree
pokemoncards/pokemon_card_images\base2-34_Dodrio.jpg,Dodrio
pokemoncards/pokemon_card_images\base2-35_Exeggutor.jpg,Exeggutor
pokemoncards/pokemon_card_images\base2-36_Fearow.jpg,Fearow
pokemoncards/pokemon_card_images\base2-37_Gloom.jpg,Gloom
pokemoncards/pokemon_card_images\base2-38_Lickitung.jpg,Lickitung
pokemoncards/pokemon_card_images\base2-39_Marowak.jpg,Marowak
pokemoncards/pokemon_card_images\base2-3_Flareon.jpg,Flareon
pokemoncards/pokemon_card_images\base2-40_Nidorina.jpg,Nidorina
pokemoncards/pokemon_card_images\base2-41_Parasect.jpg,Parasect
pokemoncards/pokemon_card_images\base2-42_Persian.jpg,Persian
pokemoncards/pokemon_card_images\base2-43_Primeape.jpg,Primeape
pokemoncards/pokemon_card_images\base2-44_Rapidash.jpg,Rapidash
pokemoncards/pokemon_card_images\base2-45_Rhydon.jpg,Rhydon
pokemoncards/pokemon_card_images\base2-46_Seaking.jpg,Seaking
pokemoncards/pokemon_card_images\base2-47_Tauros.jpg,Tauros
pokemoncards/pokemon_card_images\base2-48_Weepinbell.jpg,Weepinbell
pokemoncards/pokemon_card_images\base2-49_Bellsprout.jpg,Bellsprout
pokemoncards/pokemon_card_images\base2-4_Jolteon.jpg,Jolteon
pokemoncards/pokemon_card_images\base2-50_Cubone.jpg,Cubone
pokemoncards/pokemon_card_images\base2-51_Eevee.jpg,Eevee
pokemoncards/pokemon_card_images\base2-52_Exeggcute.jpg,Exeggcute
pokemoncards/pokemon_card_images\base2-53_Goldeen.jpg,Goldeen
pokemoncards/pokemon_card_images\base2-54_Jigglypuff.jpg,Jigglypuff
pokemoncards/pokemon_card_images\base2-55_Mankey.jpg,Mankey
pokemoncards/pokemon_card_images\base2-56_Meowth.jpg,Meowth
pokemoncards/pokemon_card_images\base2-57_Nidoran ♀.jpg,Nidoran ♀
pokemoncards/pokemon_card_images\base2-58_Oddish.jpg,Oddish
pokemoncards/pokemon_card_images\base2-59_Paras.jpg,Paras
pokemoncards/pokemon_card_images\base2-5_Kangaskhan.jpg,Kangaskhan
pokemoncards/pokemon_card_images\base2-60_Pikachu.jpg,Pikachu
pokemoncards/pokemon_card_images\base2-61_Rhyhorn.jpg,Rhyhorn
pokemoncards/pokemon_card_images\base2-62_Spearow.jpg,Spearow
pokemoncards/pokemon_card_images\base2-63_Venonat.jpg,Venonat
pokemoncards/pokemon_card_images\base2-6_Mr. Mime.jpg,Mr. Mime
pokemoncards/pokemon_card_images\base2-7_Nidoqueen.jpg,Nidoqueen
pokemoncards/pokemon_card_images\base2-8_Pidgeot.jpg,Pidgeot
pokemoncards/pokemon_card_images\base2-9_Pinsir.jpg,Pinsir
pokemoncards/pokemon_card_images\base3-10_Lapras.jpg,Lapras
pokemoncards/pokemon_card_images\base3-11_Magneton.jpg,Magneton
pokemoncards/pokemon_card_images\base3-12_Moltres.jpg,Moltres
pokemoncards/pokemon_card_images\base3-13_Muk.jpg,Muk
pokemoncards/pokemon_card_images\base3-14_Raichu.jpg,Raichu
pokemoncards/pokemon_card_images\base3-15_Zapdos.jpg,Zapdos
pokemoncards/pokemon_card_images\base3-16_Aerodactyl.jpg,Aerodactyl
pokemoncards/pokemon_card_images\base3-17_Articuno.jpg,Articuno
pokemoncards/pokemon_card_images\base3-18_Ditto.jpg,Ditto
pokemoncards/pokemon_card_images\base3-19_Dragonite.jpg,Dragonite
pokemoncards/pokemon_card_images\base3-1_Aerodactyl.jpg,Aerodactyl
pokemoncards/pokemon_card_images\base3-20_Gengar.jpg,Gengar
pokemoncards/pokemon_card_images\base3-21_Haunter.jpg,Haunter
pokemoncards/pokemon_card_images\base3-22_Hitmonlee.jpg,Hitmonlee
pokemoncards/pokemon_card_images\base3-23_Hypno.jpg,Hypno
pokemoncards/pokemon_card_images\base3-24_Kabutops.jpg,Kabutops
pokemoncards/pokemon_card_images\base3-25_Lapras.jpg,Lapras
pokemoncards/pokemon_card_images\base3-26_Magneton.jpg,Magneton
pokemoncards/pokemon_card_images\base3-27_Moltres.jpg,Moltres
pokemoncards/pokemon_card_images\base3-28_Muk.jpg,Muk
pokemoncards/pokemon_card_images\base3-29_Raichu.jpg,Raichu
pokemoncards/pokemon_card_images\base3-2_Articuno.jpg,Articuno
pokemoncards/pokemon_card_images\base3-30_Zapdos.jpg,Zapdos
pokemoncards/pokemon_card_images\base3-31_Arbok.jpg,Arbok
pokemoncards/pokemon_card_images\base3-32_Cloyster.jpg,Cloyster
pokemoncards/pokemon_card_images\base3-33_Gastly.jpg,Gastly
pokemoncards/pokemon_card_images\base3-34_Golbat.jpg,Golbat
pokemoncards/pokemon_card_images\base3-35_Golduck.jpg,Golduck
pokemoncards/pokemon_card_images\base3-36_Golem.jpg,Golem
pokemoncards/pokemon_card_images\base3-37_Graveler.jpg,Graveler
pokemoncards/pokemon_card_images\base3-38_Kingler.jpg,Kingler
pokemoncards/pokemon_card_images\base3-39_Magmar.jpg,Magmar
pokemoncards/pokemon_card_images\base3-3_Ditto.jpg,Ditto
pokemoncards/pokemon_card_images\base3-40_Omastar.jpg,Omastar
pokemoncards/pokemon_card_images\base3-41_Sandslash.jpg,Sandslash
pokemoncards/pokemon_card_images\base3-42_Seadra.jpg,Seadra
pokemoncards/pokemon_card_images\base3-43_Slowbro.jpg,Slowbro
pokemoncards/pokemon_card_images\base3-44_Tentacruel.jpg,Tentacruel
pokemoncards/pokemon_card_images\base3-45_Weezing.jpg,Weezing
pokemoncards/pokemon_card_images\base3-46_Ekans.jpg,Ekans
pokemoncards/pokemon_card_images\base3-47_Geodude.jpg,Geodude
pokemoncards/pokemon_card_images\base3-48_Grimer.jpg,Grimer
pokemoncards/pokemon_card_images\base3-49_Horsea.jpg,Horsea
pokemoncards/pokemon_card_images\base3-4_Dragonite.jpg,Dragonite
pokemoncards/pokemon_card_images\base3-50_Kabuto.jpg,Kabuto
pokemoncards/pokemon_card_images\base3-51_Krabby.jpg,Krabby
pokemoncards/pokemon_card_images\base3-52_Omanyte.jpg,Omanyte
pokemoncards/pokemon_card_images\base3-53_Psyduck.jpg,Psyduck
pokemoncards/pokemon_card_images\base3-54_Shellder.jpg,Shellder
pokemoncards/pokemon_card_images\base3-55_Slowpoke.jpg,Slowpoke
pokemoncards/pokemon_card_images\base3-56_Tentacool.jpg,Tentacool
pokemoncards/pokemon_card_images\base3-57_Zubat.jpg,Zubat
pokemoncards/pokemon_card_images\base3-5_Gengar.jpg,Gengar
pokemoncards/pokemon_card_images\base3-6_Haunter.jpg,Haunter
pokemoncards/pokemon_card_images\base3-7_Hitmonlee.jpg,Hitmonlee
pokemoncards/pokemon_card_images\base3-8_Hypno.jpg,Hypno
pokemoncards/pokemon_card_images\base3-9_Kabutops.jpg,Kabutops
pokemoncards/pokemon_card_images\base4-100_Weedle.jpg,Weedle
pokemoncards/pokemon_card_images\base4-10_Mewtwo.jpg,Mewtwo
pokemoncards/pokemon_card_images\base4-11_Nidoking.jpg,Nidoking
pokemoncards/pokemon_card_images\base4-12_Nidoqueen.jpg,Nidoqueen
pokemoncards/pokemon_card_images\base4-13_Ninetales.jpg,Ninetales
pokemoncards/pokemon_card_images\base4-14_Pidgeot.jpg,Pidgeot
pokemoncards/pokemon_card_images\base4-15_Poliwrath.jpg,Poliwrath
pokemoncards/pokemon_card_images\base4-16_Raichu.jpg,Raichu
pokemoncards/pokemon_card_images\base4-17_Scyther.jpg,Scyther
pokemoncards/pokemon_card_images\base4-18_Venusaur.jpg,Venusaur
pokemoncards/pokemon_card_images\base4-19_Wigglytuff.jpg,Wigglytuff
pokemoncards/pokemon_card_images\base4-1_Alakazam.jpg,Alakazam
pokemoncards/pokemon_card_images\base4-20_Zapdos.jpg,Zapdos
pokemoncards/pokemon_card_images\base4-21_Beedrill.jpg,Beedrill
pokemoncards/pokemon_card_images\base4-22_Dragonair.jpg,Dragonair
pokemoncards/pokemon_card_images\base4-23_Dugtrio.jpg,Dugtrio
pokemoncards/pokemon_card_images\base4-24_Electabuzz.jpg,Electabuzz
pokemoncards/pokemon_card_images\base4-25_Electrode.jpg,Electrode
pokemoncards/pokemon_card_images\base4-26_Kangaskhan.jpg,Kangaskhan
pokemoncards/pokemon_card_images\base4-27_Mr. Mime.jpg,Mr. Mime
pokemoncards/pokemon_card_images\base4-28_Pidgeotto.jpg,Pidgeotto
pokemoncards/pokemon_card_images\base4-29_Pinsir.jpg,Pinsir
pokemoncards/pokemon_card_images\base4-2_Blastoise.jpg,Blastoise
pokemoncards/pokemon_card_images\base4-30_Snorlax.jpg,Snorlax
pokemoncards/pokemon_card_images\base4-31_Venomoth.jpg,Venomoth
pokemoncards/pokemon_card_images\base4-32_Victreebel.jpg,Victreebel
pokemoncards/pokemon_card_images\base4-33_Arcanine.jpg,Arcanine
pokemoncards/pokemon_card_images\base4-34_Butterfree.jpg,Butterfree
pokemoncards/pokemon_card_images\base4-35_Charmeleon.jpg,Charmeleon
pokemoncards/pokemon_card_images\base4-36_Dewgong.jpg,Dewgong
pokemoncards/pokemon_card_images\base4-37_Dodrio.jpg,Dodrio
pokemoncards/pokemon_card_images\base4-38_Dratini.jpg,Dratini
pokemoncards/pokemon_card_images\base4-39_Exeggutor.jpg,Exeggutor
pokemoncards/pokemon_card_images\base4-3_Chansey.jpg,Chansey
pokemoncards/pokemon_card_images\base4-40_Farfetch'd.jpg,Farfetch'd
pokemoncards/pokemon_card_images\base4-41_Fearow.jpg,Fearow
pokemoncards/pokemon_card_images\base4-42_Growlithe.jpg,Growlithe
pokemoncards/pokemon_card_images\base4-43_Haunter.jpg,Haunter
pokemoncards/pokemon_card_images\base4-44_Ivysaur.jpg,Ivysaur
pokemoncards/pokemon_card_images\base4-45_Jynx.jpg,Jynx
pokemoncards/pokemon_card_images\base4-46_Kadabra.jpg,Kadabra
pokemoncards/pokemon_card_images\base4-47_Kakuna.jpg,Kakuna
pokemoncards/pokemon_card_images\base4-48_Lickitung.jpg,Lickitung
pokemoncards/pokemon_card_images\base4-49_Machoke.jpg,Machoke
pokemoncards/pokemon_card_images\base4-4_Charizard.jpg,Charizard
pokemoncards/pokemon_card_images\base4-50_Magikarp.jpg,Magikarp
pokemoncards/pokemon_card_images\base4-51_Magmar.jpg,Magmar
pokemoncards/pokemon_card_images\base4-52_Marowak.jpg,Marowak
pokemoncards/pokemon_card_images\base4-53_Nidorina.jpg,Nidorina
pokemoncards/pokemon_card_images\base4-54_Nidorino.jpg,Nidorino
pokemoncards/pokemon_card_images\base4-55_Parasect.jpg,Parasect
pokemoncards/pokemon_card_images\base4-56_Persian.jpg,Persian
pokemoncards/pokemon_card_images\base4-57_Poliwhirl.jpg,Poliwhirl
pokemoncards/pokemon_card_images\base4-58_Raticate.jpg,Raticate
pokemoncards/pokemon_card_images\base4-59_Rhydon.jpg,Rhydon
pokemoncards/pokemon_card_images\base4-5_Clefable.jpg,Clefable
pokemoncards/pokemon_card_images\base4-60_Seaking.jpg,Seaking
pokemoncards/pokemon_card_images\base4-61_Seel.jpg,Seel
pokemoncards/pokemon_card_images\base4-62_Tauros.jpg,Tauros
pokemoncards/pokemon_card_images\base4-63_Wartortle.jpg,Wartortle
pokemoncards/pokemon_card_images\base4-64_Weepinbell.jpg,Weepinbell
pokemoncards/pokemon_card_images\base4-65_Abra.jpg,Abra
pokemoncards/pokemon_card_images\base4-66_Bellsprout.jpg,Bellsprout
pokemoncards/pokemon_card_images\base4-67_Bulbasaur.jpg,Bulbasaur
pokemoncards/pokemon_card_images\base4-68_Caterpie.jpg,Caterpie
pokemoncards/pokemon_card_images\base4-69_Charmander.jpg,Charmander
pokemoncards/pokemon_card_images\base4-6_Clefairy.jpg,Clefairy
pokemoncards/pokemon_card_images\base4-70_Cubone.jpg,Cubone
pokemoncards/pokemon_card_images\base4-71_Diglett.jpg,Diglett
pokemoncards/pokemon_card_images\base4-72_Doduo.jpg,Doduo
pokemoncards/pokemon_card_images\base4-73_Drowzee.jpg,Drowzee
pokemoncards/pokemon_card_images\base4-74_Exeggcute.jpg,Exeggcute
pokemoncards/pokemon_card_images\base4-75_Gastly.jpg,Gastly
pokemoncards/pokemon_card_images\base4-76_Goldeen.jpg,Goldeen
pokemoncards/pokemon_card_images\base4-77_Jigglypuff.jpg,Jigglypuff
pokemoncards/pokemon_card_images\base4-78_Machop.jpg,Machop
pokemoncards/pokemon_card_images\base4-79_Magnemite.jpg,Magnemite
pokemoncards/pokemon_card_images\base4-7_Gyarados.jpg,Gyarados
pokemoncards/pokemon_card_images\base4-80_Meowth.jpg,Meowth
pokemoncards/pokemon_card_images\base4-81_Metapod.jpg,Metapod
pokemoncards/pokemon_card_images\base4-82_Nidoran ♀.jpg,Nidoran ♀
pokemoncards/pokemon_card_images\base4-83_Nidoran ♂.jpg,Nidoran ♂
pokemoncards/pokemon_card_images\base4-84_Onix.jpg,Onix
pokemoncards/pokemon_card_images\base4-85_Paras.jpg,Paras
pokemoncards/pokemon_card_images\base4-86_Pidgey.jpg,Pidgey
pokemoncards/pokemon_card_images\base4-87_Pikachu.jpg,Pikachu
pokemoncards/pokemon_card_images\base4-88_Poliwag.jpg,Poliwag
pokemoncards/pokemon_card_images\base4-89_Rattata.jpg,Rattata
pokemoncards/pokemon_card_images\base4-8_Hitmonchan.jpg,Hitmonchan
pokemoncards/pokemon_card_images\base4-90_Rhyhorn.jpg,Rhyhorn
pokemoncards/pokemon_card_images\base4-91_Sandshrew.jpg,Sandshrew
pokemoncards/pokemon_card_images\base4-92_Spearow.jpg,Spearow
pokemoncards/pokemon_card_images\base4-93_Squirtle.jpg,Squirtle
pokemoncards/pokemon_card_images\base4-94_Starmie.jpg,Starmie
pokemoncards/pokemon_card_images\base4-95_Staryu.jpg,Staryu
pokemoncards/pokemon_card_images\base4-96_Tangela.jpg,Tangela
pokemoncards/pokemon_card_images\base4-97_Venonat.jpg,Venonat
pokemoncards/pokemon_card_images\base4-98_Voltorb.jpg,Voltorb
pokemoncards/pokemon_card_images\base4-99_Vulpix.jpg,Vulpix
pokemoncards/pokemon_card_images\base4-9_Magneton.jpg,Magneton
pokemoncards/pokemon_card_images\base5-10_Dark Machamp.jpg,Dark Machamp
pokemoncards/pokemon_card_images\base5-11_Dark Magneton.jpg,Dark Magneton
pokemoncards/pokemon_card_images\base5-12_Dark Slowbro.jpg,Dark Slowbro
pokemoncards/pokemon_card_images\base5-13_Dark Vileplume.jpg,Dark Vileplume
pokemoncards/pokemon_card_images\base5-14_Dark Weezing.jpg,Dark Weezing
pokemoncards/pokemon_card_images\base5-18_Dark Alakazam.jpg,Dark Alakazam
pokemoncards/pokemon_card_images\base5-19_Dark Arbok.jpg,Dark Arbok
pokemoncards/pokemon_card_images\base5-1_Dark Alakazam.jpg,Dark Alakazam
pokemoncards/pokemon_card_images\base5-20_Dark Blastoise.jpg,Dark Blastoise
pokemoncards/pokemon_card_images\base5-21_Dark Charizard.jpg,Dark Charizard
pokemoncards/pokemon_card_images\base5-22_Dark Dragonite.jpg,Dark Dragonite
pokemoncards/pokemon_card_images\base5-23_Dark Dugtrio.jpg,Dark Dugtrio
pokemoncards/pokemon_card_images\base5-24_Dark Golbat.jpg,Dark Golbat
pokemoncards/pokemon_card_images\base5-25_Dark Gyarados.jpg,Dark Gyarados
pokemoncards/pokemon_card_images\base5-26_Dark Hypno.jpg,Dark Hypno
pokemoncards/pokemon_card_images\base5-27_Dark Machamp.jpg,Dark Machamp
pokemoncards/pokemon_card_images\base5-28_Dark Magneton.jpg,Dark Magneton
pokemoncards/pokemon_card_images\base5-29_Dark Slowbro.jpg,Dark Slowbro
pokemoncards/pokemon_card_images\base5-2_Dark Arbok.jpg,Dark Arbok
pokemoncards/pokemon_card_images\base5-30_Dark Vileplume.jpg,Dark Vileplume
pokemoncards/pokemon_card_images\base5-31_Dark Weezing.jpg,Dark Weezing
pokemoncards/pokemon_card_images\base5-32_Dark Charmeleon.jpg,Dark Charmeleon
pokemoncards/pokemon_card_images\base5-33_Dark Dragonair.jpg,Dark Dragonair
pokemoncards/pokemon_card_images\base5-34_Dark Electrode.jpg,Dark Electrode
pokemoncards/pokemon_card_images\base5-35_Dark Flareon.jpg,Dark Flareon
pokemoncards/pokemon_card_images\base5-36_Dark Gloom.jpg,Dark Gloom
pokemoncards/pokemon_card_images\base5-37_Dark Golduck.jpg,Dark Golduck
pokemoncards/pokemon_card_images\base5-38_Dark Jolteon.jpg,Dark Jolteon
pokemoncards/pokemon_card_images\base5-39_Dark Kadabra.jpg,Dark Kadabra
pokemoncards/pokemon_card_images\base5-3_Dark Blastoise.jpg,Dark Blastoise
pokemoncards/pokemon_card_images\base5-40_Dark Machoke.jpg,Dark Machoke
pokemoncards/pokemon_card_images\base5-41_Dark Muk.jpg,Dark Muk
pokemoncards/pokemon_card_images\base5-42_Dark Persian.jpg,Dark Persian
pokemoncards/pokemon_card_images\base5-43_Dark Primeape.jpg,Dark Primeape
pokemoncards/pokemon_card_images\base5-44_Dark Rapidash.jpg,Dark Rapidash
pokemoncards/pokemon_card_images\base5-45_Dark Vaporeon.jpg,Dark Vaporeon
pokemoncards/pokemon_card_images\base5-46_Dark Wartortle.jpg,Dark Wartortle
pokemoncards/pokemon_card_images\base5-47_Magikarp.jpg,Magikarp
pokemoncards/pokemon_card_images\base5-48_Porygon.jpg,Porygon
pokemoncards/pokemon_card_images\base5-49_Abra.jpg,Abra
pokemoncards/pokemon_card_images\base5-4_Dark Charizard.jpg,Dark Charizard
pokemoncards/pokemon_card_images\base5-50_Charmander.jpg,Charmander
pokemoncards/pokemon_card_images\base5-51_Dark Raticate.jpg,Dark Raticate
pokemoncards/pokemon_card_images\base5-52_Diglett.jpg,Diglett
pokemoncards/pokemon_card_images\base5-53_Dratini.jpg,Dratini
pokemoncards/pokemon_card_images\base5-54_Drowzee.jpg,Drowzee
pokemoncards/pokemon_card_images\base5-55_Eevee.jpg,Eevee
pokemoncards/pokemon_card_images\base5-56_Ekans.jpg,Ekans
pokemoncards/pokemon_card_images\base5-57_Grimer.jpg,Grimer
pokemoncards/pokemon_card_images\base5-58_Koffing.jpg,Koffing
pokemoncards/pokemon_card_images\base5-59_Machop.jpg,Machop
pokemoncards/pokemon_card_images\base5-5_Dark Dragonite.jpg,Dark Dragonite
pokemoncards/pokemon_card_images\base5-60_Magnemite.jpg,Magnemite
pokemoncards/pokemon_card_images\base5-61_Mankey.jpg,Mankey
pokemoncards/pokemon_card_images\base5-62_Meowth.jpg,Meowth
pokemoncards/pokemon_card_images\base5-63_Oddish.jpg,Oddish
pokemoncards/pokemon_card_images\base5-64_Ponyta.jpg,Ponyta
pokemoncards/pokemon_card_images\base5-65_Psyduck.jpg,Psyduck
pokemoncards/pokemon_card_images\base5-66_Rattata.jpg,Rattata
pokemoncards/pokemon_card_images\base5-67_Slowpoke.jpg,Slowpoke
pokemoncards/pokemon_card_images\base5-68_Squirtle.jpg,Squirtle
pokemoncards/pokemon_card_images\base5-69_Voltorb.jpg,Voltorb
pokemoncards/pokemon_card_images\base5-6_Dark Dugtrio.jpg,Dark Dugtrio
pokemoncards/pokemon_card_images\base5-70_Zubat.jpg,Zubat
pokemoncards/pokemon_card_images\base5-7_Dark Golbat.jpg,Dark Golbat
pokemoncards/pokemon_card_images\base5-83_Dark Raichu.jpg,Dark Raichu
pokemoncards/pokemon_card_images\base5-8_Dark Gyarados.jpg,Dark Gyarados
pokemoncards/pokemon_card_images\base5-9_Dark Hypno.jpg,Dark Hypno
pokemoncards/pokemon_card_images\base6-10_Flareon.jpg,Flareon
pokemoncards/pokemon_card_images\base6-11_Gengar.jpg,Gengar
pokemoncards/pokemon_card_images\base6-12_Gyarados.jpg,Gyarados
pokemoncards/pokemon_card_images\base6-13_Hitmonlee.jpg,Hitmonlee
pokemoncards/pokemon_card_images\base6-14_Jolteon.jpg,Jolteon
pokemoncards/pokemon_card_images\base6-15_Machamp.jpg,Machamp
pokemoncards/pokemon_card_images\base6-16_Muk.jpg,Muk
pokemoncards/pokemon_card_images\base6-17_Ninetales.jpg,Ninetales
pokemoncards/pokemon_card_images\base6-18_Venusaur.jpg,Venusaur
pokemoncards/pokemon_card_images\base6-19_Zapdos.jpg,Zapdos
pokemoncards/pokemon_card_images\base6-1_Alakazam.jpg,Alakazam
pokemoncards/pokemon_card_images\base6-20_Beedrill.jpg,Beedrill
pokemoncards/pokemon_card_images\base6-21_Butterfree.jpg,Butterfree
pokemoncards/pokemon_card_images\base6-22_Electrode.jpg,Electrode
pokemoncards/pokemon_card_images\base6-23_Exeggutor.jpg,Exeggutor
pokemoncards/pokemon_card_images\base6-24_Golem.jpg,Golem
pokemoncards/pokemon_card_images\base6-25_Hypno.jpg,Hypno
pokemoncards/pokemon_card_images\base6-26_Jynx.jpg,Jynx
